# J S K mF XI Energy_MHz
3 -1 +3.0 +2.5 3 3856958.60716568
3 -1 +3.0 +1.5 3 3856958.60864826
3 -1 +3.0 +0.5 3 3856958.61036050
3 -1 +3.0 -0.5 3 3856958.61245287
3 -1 +3.0 -1.5 3 3856958.61523534
3 -1 +3.0 -2.5 3 3856958.61953295
3 -1 +3.0 -1.5 4 3856958.66115844
3 -1 +3.0 -0.5 4 3856958.66769933
3 -1 +3.0 +0.5 4 3856958.67318423
3 -1 +3.0 +1.5 4 3856958.67796267
4 +1 +4.0 +4.5 1 3861581.93274174
4 +1 +4.0 +3.5 1 3861581.93612055
4 +1 +4.0 +2.5 1 3861581.93953164
4 +1 +4.0 +1.5 1 3861581.94297749
4 +1 +4.0 +0.5 1 3861581.94646096
4 +1 +4.0 -0.5 1 3861581.94998528
4 +1 +4.0 -1.5 1 3861581.95355420
4 +1 +4.0 -2.5 1 3861581.95717207
4 +1 +4.0 -3.5 1 3861581.96084400
4 +1 +4.0 -4.5 1 3861581.96457606
4 +1 +4.0 +3.5 2 3861582.04603312
4 +1 +4.0 +2.5 2 3861582.04674864
4 +1 +4.0 +1.5 2 3861582.04742939
4 +1 +4.0 +0.5 2 3861582.04807253
4 +1 +4.0 -0.5 2 3861582.04867482
4 +1 +4.0 -1.5 2 3861582.04923251
4 +1 +4.0 -2.5 2 3861582.04974125
4 +1 +4.0 -3.5 2 3861582.05019592
3 -1 +2.0 +3.5 1 4527696.43658708
3 -1 +2.0 +2.5 1 4527696.44024758
3 -1 +2.0 +1.5 1 4527696.44397326
3 -1 +2.0 +0.5 1 4527696.44777249
3 -1 +2.0 -0.5 1 4527696.45165562
3 -1 +2.0 -1.5 1 4527696.45563566
3 -1 +2.0 -2.5 1 4527696.45972939
3 -1 +2.0 -3.5 1 4527696.46395909
3 -1 +2.0 +2.5 2 4527696.52747883
3 -1 +2.0 +1.5 2 4527696.52776786
3 -1 +2.0 +0.5 2 4527696.52798333
3 -1 +2.0 -2.5 2 4527696.52807055
3 -1 +2.0 -0.5 2 4527696.52811491
3 -1 +2.0 -1.5 2 4527696.52814958
4 +1 +3.0 +5.5 1 4859344.95692616
4 +1 +3.0 +4.5 1 4859344.96230146
4 +1 +3.0 +3.5 1 4859344.96772627
4 +1 +3.0 +2.5 1 4859344.97320233
4 +1 +3.0 +1.5 1 4859344.97873142
4 +1 +3.0 +0.5 1 4859344.98431540
4 +1 +3.0 -0.5 1 4859344.98995617
4 +1 +3.0 -1.5 1 4859344.99565568
4 +1 +3.0 -2.5 1 4859345.00141588
4 +1 +3.0 -3.5 1 4859345.00723877
4 +1 +3.0 -4.5 1 4859345.01312634
4 +1 +3.0 -5.5 1 4859345.01908056
4 +1 +3.0 +4.5 2 4859345.09024109
4 +1 +3.0 +3.5 2 4859345.09415169
4 +1 +3.0 +2.5 2 4859345.09814056
4 +1 +3.0 +1.5 2 4859345.10221532
4 +1 +3.0 +0.5 2 4859345.10638459
4 +1 +3.0 -0.5 2 4859345.11065802
4 +1 +3.0 -1.5 2 4859345.11504646
4 +1 +3.0 -2.5 2 4859345.11956189
4 +1 +3.0 -3.5 2 4859345.12421737
4 +1 +3.0 -4.5 2 4859345.12902654
4 +1 +3.0 +3.5 3 4859345.20290922
4 +1 +3.0 +2.5 3 4859345.20432000
4 +1 +3.0 +1.5 3 4859345.20580257
4 +1 +3.0 +0.5 3 4859345.20738126
4 +1 +3.0 -0.5 3 4859345.20909093
4 +1 +3.0 -1.5 3 4859345.21098345
4 +1 +3.0 -2.5 3 4859345.21314019
4 +1 +3.0 -3.5 3 4859345.21569885
4 +1 +3.0 -2.5 4 4859345.27790688
4 +1 +3.0 -1.5 4 4859345.28225391
4 +1 +3.0 -0.5 4 4859345.28614900
4 +1 +3.0 +0.5 4 4859345.28968751
4 +1 +3.0 +1.5 4 4859345.29293408
4 +1 +3.0 +2.5 4 4859345.29593514
3 -1 +1.0 +3.5 1 4929155.20564520
3 -1 +1.0 +2.5 1 4929155.20927895
3 -1 +1.0 +1.5 1 4929155.21297811
3 -1 +1.0 +0.5 1 4929155.21675112
3 -1 +1.0 -0.5 1 4929155.22060838
3 -1 +1.0 -1.5 1 4929155.22456298
3 -1 +1.0 -2.5 1 4929155.22863183
3 -1 +1.0 -3.5 1 4929155.23283737
3 -1 +1.0 +2.5 2 4929155.29653372
3 -1 +1.0 +1.5 2 4929155.29678932
3 -1 +1.0 -2.5 2 4929155.29695464
3 -1 +1.0 +0.5 2 4929155.29697107
3 -1 +1.0 -0.5 2 4929155.29706857
3 -1 +1.0 -1.5 2 4929155.29706873
4 -1 +4.0 +4.5 1 5536499.93274174
4 -1 +4.0 +3.5 1 5536499.93612055
4 -1 +4.0 +2.5 1 5536499.93953164
4 -1 +4.0 +1.5 1 5536499.94297749
4 -1 +4.0 +0.5 1 5536499.94646096
4 -1 +4.0 -0.5 1 5536499.94998528
4 -1 +4.0 -1.5 1 5536499.95355420
4 -1 +4.0 -2.5 1 5536499.95717207
4 -1 +4.0 -3.5 1 5536499.96084400
4 -1 +4.0 -4.5 1 5536499.96457606
4 -1 +4.0 +3.5 2 5536500.04603312
4 -1 +4.0 +2.5 2 5536500.04674864
4 -1 +4.0 +1.5 2 5536500.04742939
4 -1 +4.0 +0.5 2 5536500.04807254
4 -1 +4.0 -0.5 2 5536500.04867482
4 -1 +4.0 -1.5 2 5536500.04923251
4 -1 +4.0 -2.5 2 5536500.04974125
4 -1 +4.0 -3.5 2 5536500.05019592
4 +1 +2.0 +4.5 1 5569573.00890228
4 +1 +2.0 +3.5 1 5569573.01221551
4 +1 +2.0 +2.5 1 5569573.01556131
4 +1 +2.0 +1.5 1 5569573.01894222
4 +1 +2.0 +0.5 1 5569573.02236111
4 +1 +2.0 -0.5 1 5569573.02582128
4 +1 +2.0 -1.5 1 5569573.02932653
4 +1 +2.0 -2.5 1 5569573.03288129
4 +1 +2.0 -3.5 1 5569573.03649075
4 +1 +2.0 -4.5 1 5569573.04016110
4 +1 +2.0 +3.5 2 5569573.12218730
4 +1 +2.0 +2.5 2 5569573.12282423
4 +1 +2.0 +1.5 2 5569573.12342606
4 +1 +2.0 +0.5 2 5569573.12398991
4 +1 +2.0 -0.5 2 5569573.12451247
4 +1 +2.0 -1.5 2 5569573.12498996
4 +1 +2.0 -2.5 2 5569573.12541793
4 +1 +2.0 -3.5 2 5569573.12579120
4 +1 +1.0 +4.5 1 5994725.77794241
4 +1 +1.0 +3.5 1 5994725.78123925
4 +1 +1.0 +2.5 1 5994725.78456873
4 +1 +1.0 +1.5 1 5994725.78793340
4 +1 +1.0 +0.5 1 5994725.79133614
4 +1 +1.0 -0.5 1 5994725.79478027
4 +1 +1.0 -1.5 1 5994725.79826961
4 +1 +1.0 -2.5 1 5994725.80180859
4 +1 +1.0 -3.5 1 5994725.80540244
4 +1 +1.0 -4.5 1 5994725.80905737
4 +1 +1.0 +3.5 2 5994725.89122585
4 +1 +1.0 +2.5 2 5994725.89184313
4 +1 +1.0 +1.5 2 5994725.89242523
4 +1 +1.0 +0.5 2 5994725.89296925
4 +1 +1.0 -0.5 2 5994725.89347189
4 +1 +1.0 -1.5 2 5994725.89392932
4 +1 +1.0 -2.5 2 5994725.89433711
4 +1 +1.0 -3.5 2 5994725.89469002
4 -1 +3.0 +5.5 1 6475056.95692616
4 -1 +3.0 +4.5 1 6475056.96230146
4 -1 +3.0 +3.5 1 6475056.96772627
4 -1 +3.0 +2.5 1 6475056.97320233
4 -1 +3.0 +1.5 1 6475056.97873142
4 -1 +3.0 +0.5 1 6475056.98431540
4 -1 +3.0 -0.5 1 6475056.98995618
4 -1 +3.0 -1.5 1 6475056.99565568
4 -1 +3.0 -2.5 1 6475057.00141588
4 -1 +3.0 -3.5 1 6475057.00723877
4 -1 +3.0 -4.5 1 6475057.01312634
4 -1 +3.0 -5.5 1 6475057.01908055
4 -1 +3.0 +4.5 2 6475057.09024109
4 -1 +3.0 +3.5 2 6475057.09415169
4 -1 +3.0 +2.5 2 6475057.09814056
4 -1 +3.0 +1.5 2 6475057.10221533
4 -1 +3.0 +0.5 2 6475057.10638459
4 -1 +3.0 -0.5 2 6475057.11065803
4 -1 +3.0 -1.5 2 6475057.11504646
4 -1 +3.0 -2.5 2 6475057.11956190
4 -1 +3.0 -3.5 2 6475057.12421736
4 -1 +3.0 -4.5 2 6475057.12902655
4 -1 +3.0 +3.5 3 6475057.20290922
4 -1 +3.0 +2.5 3 6475057.20432000
4 -1 +3.0 +1.5 3 6475057.20580256
4 -1 +3.0 +0.5 3 6475057.20738126
4 -1 +3.0 -0.5 3 6475057.20909093
4 -1 +3.0 -1.5 3 6475057.21098345
4 -1 +3.0 -2.5 3 6475057.21314019
4 -1 +3.0 -3.5 3 6475057.21569885
4 -1 +3.0 -2.5 4 6475057.27790689
4 -1 +3.0 -1.5 4 6475057.28225390
4 -1 +3.0 -0.5 4 6475057.28614899
4 -1 +3.0 +0.5 4 6475057.28968751
4 -1 +3.0 +1.5 4 6475057.29293408
4 -1 +3.0 +2.5 4 6475057.29593514
4 -1 +2.0 +4.5 1 7142995.00890228
4 -1 +2.0 +3.5 1 7142995.01221551
4 -1 +2.0 +2.5 1 7142995.01556131
4 -1 +2.0 +1.5 1 7142995.01894222
4 -1 +2.0 +0.5 1 7142995.02236111
4 -1 +2.0 -0.5 1 7142995.02582128
4 -1 +2.0 -1.5 1 7142995.02932653
4 -1 +2.0 -2.5 1 7142995.03288129
4 -1 +2.0 -3.5 1 7142995.03649075
4 -1 +2.0 -4.5 1 7142995.04016111
4 -1 +2.0 +3.5 2 7142995.12218730
4 -1 +2.0 +2.5 2 7142995.12282423
4 -1 +2.0 +1.5 2 7142995.12342606
4 -1 +2.0 +0.5 2 7142995.12398991
4 -1 +2.0 -0.5 2 7142995.12451247
4 -1 +2.0 -1.5 2 7142995.12498996
4 -1 +2.0 -2.5 2 7142995.12541793
4 -1 +2.0 -3.5 2 7142995.12579120
4 -1 +1.0 +4.5 1 7542773.77794241
4 -1 +1.0 +3.5 1 7542773.78123925
4 -1 +1.0 +2.5 1 7542773.78456873
4 -1 +1.0 +1.5 1 7542773.78793340
4 -1 +1.0 +0.5 1 7542773.79133614
4 -1 +1.0 -0.5 1 7542773.79478027
4 -1 +1.0 -1.5 1 7542773.79826960
4 -1 +1.0 -2.5 1 7542773.80180859
4 -1 +1.0 -3.5 1 7542773.80540244
4 -1 +1.0 -4.5 1 7542773.80905737
4 -1 +1.0 +3.5 2 7542773.89122585
4 -1 +1.0 +2.5 2 7542773.89184313
4 -1 +1.0 +1.5 2 7542773.89242523
4 -1 +1.0 +0.5 2 7542773.89296925
4 -1 +1.0 -0.5 2 7542773.89347189
4 -1 +1.0 -1.5 2 7542773.89392932
4 -1 +1.0 -2.5 2 7542773.89433711
4 -1 +1.0 -3.5 2 7542773.89469002
4 -1 +0.0 +5.5 1 7675869.26404656
4 -1 +0.0 +4.5 1 7675869.26938045
4 -1 +0.0 +3.5 1 7675869.27476422
4 -1 +0.0 +2.5 1 7675869.28019962
4 -1 +0.0 +1.5 1 7675869.28568846
4 -1 +0.0 +0.5 1 7675869.29123263
4 -1 +0.0 -0.5 1 7675869.29683406
4 -1 +0.0 -1.5 1 7675869.30249467
4 -1 +0.0 -2.5 1 7675869.30821651
4 -1 +0.0 -3.5 1 7675869.31400156
4 -1 +0.0 -4.5 1 7675869.31985184
4 -1 +0.0 -5.5 1 7675869.32576935
4 -1 +0.0 +4.5 2 7675869.39734896
4 -1 +0.0 +3.5 2 7675869.40121185
4 -1 +0.0 +2.5 2 7675869.40515353
4 -1 +0.0 +1.5 2 7675869.40918170
4 -1 +0.0 +0.5 2 7675869.41330507
4 -1 +0.0 -0.5 2 7675869.41753343
4 -1 +0.0 -1.5 2 7675869.42187771
4 -1 +0.0 -2.5 2 7675869.42635009
4 -1 +0.0 -3.5 2 7675869.43096376
4 -1 +0.0 -4.5 2 7675869.43573258
4 -1 +0.0 +3.5 3 7675869.51001047
4 -1 +0.0 +2.5 3 7675869.51136370
4 -1 +0.0 +1.5 3 7675869.51278899
4 -1 +0.0 +0.5 3 7675869.51431088
4 -1 +0.0 -0.5 3 7675869.51596458
4 -1 +0.0 -1.5 3 7675869.51780248
4 -1 +0.0 -2.5 3 7675869.51990699
4 -1 +0.0 -3.5 3 7675869.52241789
4 -1 +0.0 -2.5 4 7675869.58463013
4 -1 +0.0 -1.5 4 7675869.58905930
4 -1 +0.0 -0.5 4 7675869.59303256
4 -1 +0.0 +0.5 4 7675869.59664646
4 -1 +0.0 +1.5 4 7675869.59996634
4 -1 +0.0 +2.5 4 7675869.60303910
