Type I_index Init_J Init_S Init_K Init_mF Init_XI F_index Final_J Final_S Final_K Final_mF Final_XI Rabi_Rate_Real Rabi_Rate_Imag
sigma+ 412 4 -1 +0.0 +1.5 1 411 4 -1 +0.0 +2.5 1 -9.97939266e-07 0.00000000e+00
sigma+ 157 3 1 +0.0 +0.5 2 156 3 1 +0.0 +1.5 2 -9.96277954e-07 0.00000000e+00
sigma+ 124 2 -1 +0.0 +1.5 3 111 2 -1 +0.0 +2.5 1 -9.91217872e-07 0.00000000e+00
sigma+ 63 3 1 +3.0 -1.5 2 238 4 1 +3.0 -0.5 1 9.90159069e-07 0.00000000e+00
sigma+ 187 3 -1 +3.0 -1.5 2 342 4 -1 +3.0 -0.5 1 9.90158945e-07 0.00000000e+00
sigma+ 240 4 1 +3.0 -2.5 1 54 3 1 +3.0 -1.5 1 9.89343365e-07 0.00000000e+00
sigma+ 344 4 -1 +3.0 -2.5 1 178 3 -1 +3.0 -1.5 1 -9.89343349e-07 0.00000000e+00
sigma+ 10 1 1 +0.0 -1.5 1 165 3 1 +0.0 -0.5 3 -9.83204196e-07 0.00000000e+00
sigma+ 113 2 -1 +0.0 +0.5 1 423 4 -1 +0.0 +1.5 2 9.81541203e-07 0.00000000e+00
sigma+ 57 3 1 +3.0 -4.5 1 261 4 1 +3.0 -3.5 3 -9.80402859e-07 0.00000000e+00
sigma+ 181 3 -1 +3.0 -4.5 1 365 4 -1 +3.0 -3.5 3 9.80402849e-07 0.00000000e+00
sigma+ 324 4 1 +1.0 -1.5 1 323 4 1 +1.0 -0.5 1 9.79837133e-07 -7.50672697e-24
sigma+ 396 4 -1 +1.0 -1.5 1 395 4 -1 +1.0 -0.5 1 -6.17026226e-21 9.79837130e-07
sigma+ 37 2 1 +1.0 -2.5 1 333 4 1 +1.0 -1.5 2 -1.86798316e-24 9.74512094e-07
sigma+ 105 2 -1 +1.0 -2.5 1 405 4 -1 +1.0 -1.5 2 -6.04484061e-20 -9.74512081e-07
sigma+ 138 3 1 +1.0 +2.5 2 130 3 1 +1.0 +3.5 1 -9.72067407e-07 -3.16811488e-25
sigma+ 276 3 -1 +1.0 +2.5 2 268 3 -1 +1.0 +3.5 1 -9.72067380e-07 7.36783806e-26
sigma+ 438 4 -1 +0.0 -2.5 4 435 4 -1 +0.0 -1.5 3 9.70082069e-07 0.00000000e+00
sigma+ 424 4 -1 +0.0 +0.5 2 432 4 -1 +0.0 +1.5 3 9.65298484e-07 0.00000000e+00
sigma+ 41 2 1 +1.0 +1.5 2 131 3 1 +1.0 +2.5 1 -9.65072421e-07 8.02138182e-21
sigma+ 109 2 -1 +1.0 +1.5 2 269 3 -1 +1.0 +2.5 1 -1.68286767e-21 9.65072394e-07
sigma+ 257 4 1 +3.0 +0.5 3 266 4 1 +3.0 +1.5 4 9.64068535e-07 0.00000000e+00
sigma+ 361 4 -1 +3.0 +0.5 3 370 4 -1 +3.0 +1.5 4 -9.64068532e-07 0.00000000e+00
sigma+ 143 3 1 +1.0 -1.5 2 134 3 1 +1.0 -0.5 1 -1.21806751e-16 -9.62741089e-07
sigma+ 281 3 -1 +1.0 -1.5 2 272 3 -1 +1.0 -0.5 1 -9.62736212e-07 -2.70938506e-24
sigma+ 362 4 -1 +3.0 -0.5 3 369 4 -1 +3.0 +0.5 4 9.59886685e-07 0.00000000e+00
sigma+ 258 4 1 +3.0 -0.5 3 265 4 1 +3.0 +0.5 4 -9.59886685e-07 0.00000000e+00
sigma+ 361 4 -1 +3.0 +0.5 3 199 3 -1 +3.0 +1.5 4 -9.59130339e-07 0.00000000e+00
sigma+ 257 4 1 +3.0 +0.5 3 75 3 1 +3.0 +1.5 4 -9.59130304e-07 0.00000000e+00
sigma+ 108 2 -1 +1.0 +0.5 2 270 3 -1 +1.0 +1.5 1 -3.85902204e-41 -9.59118212e-07
sigma+ 40 2 1 +1.0 +0.5 2 132 3 1 +1.0 +1.5 1 -8.91209922e-21 9.59118211e-07
sigma+ 260 4 1 +3.0 -2.5 3 250 4 1 +3.0 -1.5 2 9.56716611e-07 0.00000000e+00
sigma+ 364 4 -1 +3.0 -2.5 3 354 4 -1 +3.0 -1.5 2 -9.56716575e-07 0.00000000e+00
sigma+ 126 2 -1 +0.0 -0.5 3 125 2 -1 +0.0 +0.5 3 9.55217667e-07 0.00000000e+00
sigma+ 364 4 -1 +3.0 -2.5 3 194 3 -1 +3.0 -1.5 3 -9.54617055e-07 0.00000000e+00
sigma+ 260 4 1 +3.0 -2.5 3 70 3 1 +3.0 -1.5 3 9.54617036e-07 0.00000000e+00
sigma+ 131 3 1 +1.0 +2.5 1 319 4 1 +1.0 +3.5 1 -9.49053184e-07 3.06696833e-21
sigma+ 269 3 -1 +1.0 +2.5 1 391 4 -1 +1.0 +3.5 1 -3.41958627e-25 -9.49053179e-07
sigma+ 440 4 -1 +0.0 -0.5 4 433 4 -1 +0.0 +0.5 3 -9.47867379e-07 0.00000000e+00
sigma+ 160 3 1 +0.0 -2.5 2 168 3 1 +0.0 -1.5 4 -9.47739402e-07 0.00000000e+00
sigma+ 428 4 -1 +0.0 -3.5 2 116 2 -1 +0.0 -2.5 1 -9.44165264e-07 0.00000000e+00
sigma+ 257 4 1 +3.0 +0.5 3 256 4 1 +3.0 +1.5 3 9.42944090e-07 0.00000000e+00
sigma+ 361 4 -1 +3.0 +0.5 3 360 4 -1 +3.0 +1.5 3 -9.42944070e-07 0.00000000e+00
sigma+ 125 2 -1 +0.0 +0.5 3 112 2 -1 +0.0 +1.5 1 -9.40123182e-07 0.00000000e+00
sigma+ 38 2 1 +1.0 -1.5 2 35 2 1 +1.0 -0.5 1 -9.38881390e-07 1.44995005e-24
sigma+ 106 2 -1 +1.0 -1.5 2 103 2 -1 +1.0 -0.5 1 3.86405256e-24 9.38881365e-07
sigma+ 166 3 1 +0.0 -1.5 3 169 3 1 +0.0 -0.5 4 -9.38506750e-07 0.00000000e+00
sigma+ 279 3 -1 +1.0 +0.5 2 402 4 -1 +1.0 +1.5 2 -2.98335181e-24 -9.36929864e-07
sigma+ 141 3 1 +1.0 +0.5 2 330 4 1 +1.0 +1.5 2 2.21726152e-24 9.36929859e-07
sigma+ 303 4 1 +2.0 +1.5 1 18 2 1 +2.0 +2.5 1 -3.75226950e-24 9.29596463e-07
sigma+ 375 4 -1 +2.0 +1.5 1 76 2 -1 +2.0 +2.5 1 9.29596460e-07 3.75226948e-24
sigma+ 96 3 1 +2.0 +0.5 2 303 4 1 +2.0 +1.5 1 9.29364853e-07 1.33954577e-19
sigma+ 228 3 -1 +2.0 +0.5 2 375 4 -1 +2.0 +1.5 1 -9.29364850e-07 7.84552065e-24
sigma+ 150 3 1 +0.0 -1.5 1 158 3 1 +0.0 -0.5 2 9.29117651e-07 0.00000000e+00
sigma+ 122 2 -1 +0.0 -1.5 2 121 2 -1 +0.0 -0.5 2 -9.27891662e-07 0.00000000e+00
sigma+ 249 4 1 +3.0 -0.5 2 257 4 1 +3.0 +0.5 3 -9.27486884e-07 0.00000000e+00
sigma+ 353 4 -1 +3.0 -0.5 2 361 4 -1 +3.0 +0.5 3 -9.27486874e-07 0.00000000e+00
sigma+ 433 4 -1 +0.0 +0.5 3 442 4 -1 +0.0 +1.5 4 -9.26458939e-07 0.00000000e+00
sigma+ 250 4 1 +3.0 -1.5 2 53 3 1 +3.0 -0.5 1 9.21398047e-07 0.00000000e+00
sigma+ 354 4 -1 +3.0 -1.5 2 177 3 -1 +3.0 -0.5 1 9.21398017e-07 0.00000000e+00
sigma+ 351 4 -1 +3.0 +1.5 2 359 4 -1 +3.0 +2.5 3 -9.20590005e-07 0.00000000e+00
sigma+ 247 4 1 +3.0 +1.5 2 255 4 1 +3.0 +2.5 3 9.20589972e-07 0.00000000e+00
sigma+ 288 4 -1 +4.0 -1.5 1 296 4 -1 +4.0 -0.5 2 -9.18892846e-07 3.27940040e-24
sigma+ 206 4 1 +4.0 -1.5 1 214 4 1 +4.0 -0.5 2 1.21953783e-24 -9.18892809e-07
sigma+ 169 3 1 +0.0 -0.5 4 170 3 1 +0.0 +0.5 4 9.12019616e-07 0.00000000e+00
sigma+ 262 4 1 +3.0 -2.5 4 259 4 1 +3.0 -1.5 3 9.07816479e-07 0.00000000e+00
sigma+ 366 4 -1 +3.0 -2.5 4 363 4 -1 +3.0 -1.5 3 9.07816429e-07 0.00000000e+00
sigma+ 196 3 -1 +3.0 -1.5 4 362 4 -1 +3.0 -0.5 3 -9.07142379e-07 0.00000000e+00
sigma+ 72 3 1 +3.0 -1.5 4 258 4 1 +3.0 -0.5 3 -9.07142264e-07 0.00000000e+00
sigma+ 435 4 -1 +0.0 -1.5 3 128 2 -1 +0.0 -0.5 4 -9.06084451e-07 0.00000000e+00
sigma+ 116 2 -1 +0.0 -2.5 1 122 2 -1 +0.0 -1.5 2 9.05742621e-07 0.00000000e+00
sigma+ 159 3 1 +0.0 -1.5 2 169 3 1 +0.0 -0.5 4 9.03582776e-07 0.00000000e+00
sigma+ 94 3 1 +2.0 +2.5 2 301 4 1 +2.0 +3.5 1 -6.38375318e-24 -9.03111999e-07
sigma+ 226 3 -1 +2.0 +2.5 2 373 4 -1 +2.0 +3.5 1 -9.03111979e-07 6.30798016e-24
sigma+ 5 1 1 +1.0 +0.5 2 0 1 1 +1.0 +1.5 1 9.01517008e-07 -1.11059412e-24
sigma+ 47 1 -1 +1.0 +0.5 2 42 1 -1 +1.0 +1.5 1 -9.01517007e-07 1.76375417e-24
sigma+ 426 4 -1 +0.0 -1.5 2 414 4 -1 +0.0 -0.5 1 9.00295514e-07 0.00000000e+00
sigma+ 117 2 -1 +0.0 -3.5 1 416 4 -1 +0.0 -2.5 1 8.95957923e-07 0.00000000e+00
sigma+ 434 4 -1 +0.0 -0.5 3 441 4 -1 +0.0 +0.5 4 -8.93771862e-07 0.00000000e+00
sigma+ 258 4 1 +3.0 -0.5 3 248 4 1 +3.0 +0.5 2 8.93384066e-07 0.00000000e+00
sigma+ 362 4 -1 +3.0 -0.5 3 352 4 -1 +3.0 +0.5 2 -8.93384059e-07 0.00000000e+00
sigma+ 423 4 -1 +0.0 +1.5 2 431 4 -1 +0.0 +2.5 3 -8.90070126e-07 0.00000000e+00
sigma+ 54 3 1 +3.0 -1.5 1 249 4 1 +3.0 -0.5 2 -8.86706122e-07 0.00000000e+00
sigma+ 178 3 -1 +3.0 -1.5 1 353 4 -1 +3.0 -0.5 2 -8.86705980e-07 0.00000000e+00
sigma+ 159 3 1 +0.0 -1.5 2 165 3 1 +0.0 -0.5 3 8.81620661e-07 0.00000000e+00
sigma+ 59 3 1 +3.0 +2.5 2 49 3 1 +3.0 +3.5 1 -8.79940235e-07 0.00000000e+00
sigma+ 183 3 -1 +3.0 +2.5 2 173 3 -1 +3.0 +3.5 1 8.79940214e-07 0.00000000e+00
sigma+ 134 3 1 +1.0 -0.5 1 40 2 1 +1.0 +0.5 2 3.88414074e-21 8.77565272e-07
sigma+ 272 3 -1 +1.0 -0.5 1 108 2 -1 +1.0 +0.5 2 -1.21441313e-23 8.77565268e-07
sigma+ 284 4 -1 +4.0 +2.5 1 292 4 -1 +4.0 +3.5 2 -8.76741836e-07 -4.12557938e-24
sigma+ 202 4 1 +4.0 +2.5 1 210 4 1 +4.0 +3.5 2 -1.39507755e-25 -8.76741816e-07
sigma+ 271 3 -1 +1.0 +0.5 1 277 3 -1 +1.0 +1.5 2 -1.07698234e-19 8.74840541e-07
sigma+ 133 3 1 +1.0 +0.5 1 139 3 1 +1.0 +1.5 2 -8.74840521e-07 -1.60672182e-23
sigma+ 143 3 1 +1.0 -1.5 2 39 2 1 +1.0 -0.5 2 -7.15933706e-24 -8.73308346e-07
sigma+ 281 3 -1 +1.0 -1.5 2 107 2 -1 +1.0 -0.5 2 3.42018014e-40 8.73303884e-07
sigma+ 427 4 -1 +0.0 -2.5 2 415 4 -1 +0.0 -1.5 1 8.73084984e-07 0.00000000e+00
sigma+ 188 3 -1 +3.0 -2.5 2 194 3 -1 +3.0 -1.5 3 -8.70780946e-07 0.00000000e+00
sigma+ 64 3 1 +3.0 -2.5 2 70 3 1 +3.0 -1.5 3 8.70780899e-07 0.00000000e+00
sigma+ 143 3 1 +1.0 -1.5 2 2 1 1 +1.0 -0.5 1 -9.63738061e-24 8.68928527e-07
sigma+ 281 3 -1 +1.0 -1.5 2 44 1 -1 +1.0 -0.5 1 8.68924167e-07 2.49296103e-24
sigma+ 377 4 -1 +2.0 -0.5 1 228 3 -1 +2.0 +0.5 2 2.14243518e-24 -8.68385561e-07
sigma+ 305 4 1 +2.0 -0.5 1 96 3 1 +2.0 +0.5 2 8.68385532e-07 -2.46462046e-24
sigma+ 111 2 -1 +0.0 +2.5 1 421 4 -1 +0.0 +3.5 2 -8.65564502e-07 0.00000000e+00
sigma+ 437 4 -1 +0.0 -3.5 3 116 2 -1 +0.0 -2.5 1 -8.63785772e-07 0.00000000e+00
sigma+ 227 3 -1 +2.0 +1.5 2 383 4 -1 +2.0 +2.5 2 -8.60396929e-07 1.02531873e-25
sigma+ 95 3 1 +2.0 +1.5 2 311 4 1 +2.0 +2.5 2 -3.51182566e-24 8.60396912e-07
sigma+ 18 2 1 +2.0 +2.5 1 310 4 1 +2.0 +3.5 2 3.54326090e-24 8.59941332e-07
sigma+ 76 2 -1 +2.0 +2.5 1 382 4 -1 +2.0 +3.5 2 3.47111002e-24 8.59941324e-07
sigma+ 425 4 -1 +0.0 -0.5 2 433 4 -1 +0.0 +0.5 3 8.51714649e-07 0.00000000e+00
sigma+ 23 2 1 +2.0 -2.5 1 306 4 1 +2.0 -1.5 1 -3.42943149e-24 -8.49615782e-07
sigma+ 81 2 -1 +2.0 -2.5 1 378 4 -1 +2.0 -1.5 1 3.42943145e-24 8.49615772e-07
sigma+ 295 4 -1 +4.0 +0.5 2 285 4 -1 +4.0 +1.5 1 8.41725415e-07 5.32134002e-24
sigma+ 213 4 1 +4.0 +0.5 2 203 4 1 +4.0 +1.5 1 -8.41725372e-07 -2.97815044e-24
sigma+ 55 3 1 +3.0 -2.5 1 70 3 1 +3.0 -1.5 3 8.41150088e-07 0.00000000e+00
sigma+ 179 3 -1 +3.0 -2.5 1 194 3 -1 +3.0 -1.5 3 8.41150084e-07 0.00000000e+00
sigma+ 368 4 -1 +3.0 -0.5 4 361 4 -1 +3.0 +0.5 3 8.38579714e-07 0.00000000e+00
sigma+ 264 4 1 +3.0 -0.5 4 257 4 1 +3.0 +0.5 3 8.38579711e-07 0.00000000e+00
sigma+ 143 3 1 +1.0 -1.5 2 35 2 1 +1.0 -0.5 1 -6.85990560e-24 -8.36783178e-07
sigma+ 281 3 -1 +1.0 -1.5 2 103 2 -1 +1.0 -0.5 1 3.56946922e-40 -8.36778919e-07
sigma+ 237 4 1 +3.0 +0.5 1 247 4 1 +3.0 +1.5 2 -8.33611745e-07 0.00000000e+00
sigma+ 341 4 -1 +3.0 +0.5 1 351 4 -1 +3.0 +1.5 2 -8.33611736e-07 0.00000000e+00
sigma+ 103 2 -1 +1.0 -0.5 1 403 4 -1 +1.0 +0.5 2 -4.99046907e-24 -8.32432620e-07
sigma+ 35 2 1 +1.0 -0.5 1 331 4 1 +1.0 +0.5 2 8.96239620e-24 -8.32432552e-07
sigma+ 263 4 1 +3.0 -1.5 4 264 4 1 +3.0 -0.5 4 8.30844173e-07 0.00000000e+00
sigma+ 367 4 -1 +3.0 -1.5 4 368 4 -1 +3.0 -0.5 4 -8.30844143e-07 0.00000000e+00
sigma+ 263 4 1 +3.0 -1.5 4 62 3 1 +3.0 -0.5 2 -8.29628235e-07 0.00000000e+00
sigma+ 367 4 -1 +3.0 -1.5 4 186 3 -1 +3.0 -0.5 2 -8.29628184e-07 0.00000000e+00
sigma+ 272 3 -1 +1.0 -0.5 1 279 3 -1 +1.0 +0.5 2 -6.35827125e-24 8.26768875e-07
sigma+ 134 3 1 +1.0 -0.5 1 141 3 1 +1.0 +0.5 2 8.26768874e-07 9.96472036e-20
sigma+ 142 3 1 +1.0 -0.5 2 133 3 1 +1.0 +0.5 1 8.26766951e-07 1.29071311e-16
sigma+ 280 3 -1 +1.0 -0.5 2 271 3 -1 +1.0 +0.5 1 -6.35822412e-24 8.26762747e-07
sigma+ 425 4 -1 +0.0 -0.5 2 413 4 -1 +0.0 +0.5 1 -8.25395430e-07 0.00000000e+00
sigma+ 103 2 -1 +1.0 -0.5 1 108 2 -1 +1.0 +0.5 2 8.24383124e-07 1.16370707e-24
sigma+ 107 2 -1 +1.0 -0.5 2 102 2 -1 +1.0 +0.5 1 8.24383124e-07 1.87271105e-24
sigma+ 39 2 1 +1.0 -0.5 2 34 2 1 +1.0 +0.5 1 -4.22849116e-24 8.24383122e-07
sigma+ 35 2 1 +1.0 -0.5 1 40 2 1 +1.0 +0.5 2 -3.75031151e-24 8.24383122e-07
sigma+ 250 4 1 +3.0 -1.5 2 238 4 1 +3.0 -0.5 1 8.23312442e-07 0.00000000e+00
sigma+ 354 4 -1 +3.0 -1.5 2 342 4 -1 +3.0 -0.5 1 8.23312429e-07 0.00000000e+00
sigma+ 335 4 1 +1.0 -3.5 2 136 3 1 +1.0 -2.5 1 -8.22755298e-07 3.43388625e-25
sigma+ 407 4 -1 +1.0 -3.5 2 274 3 -1 +1.0 -2.5 1 -8.22755268e-07 3.43388636e-25
sigma+ 279 3 -1 +1.0 +0.5 2 101 2 -1 +1.0 +1.5 1 -8.18175197e-07 1.44870009e-23
sigma+ 141 3 1 +1.0 +0.5 2 33 2 1 +1.0 +1.5 1 -8.18175177e-07 -5.17892769e-21
sigma+ 186 3 -1 +3.0 -0.5 2 198 3 -1 +3.0 +0.5 4 -8.15749751e-07 0.00000000e+00
sigma+ 62 3 1 +3.0 -0.5 2 74 3 1 +3.0 +0.5 4 8.15749684e-07 0.00000000e+00
sigma+ 402 4 -1 +1.0 +1.5 2 100 2 -1 +1.0 +2.5 1 -8.15283964e-07 3.44911389e-24
sigma+ 330 4 1 +1.0 +1.5 2 32 2 1 +1.0 +2.5 1 -5.60332121e-24 8.15283959e-07
sigma+ 340 4 -1 +3.0 +1.5 1 350 4 -1 +3.0 +2.5 2 -8.14151059e-07 0.00000000e+00
sigma+ 236 4 1 +3.0 +1.5 1 246 4 1 +3.0 +2.5 2 8.14151023e-07 0.00000000e+00
sigma+ 26 2 1 +2.0 +0.5 2 95 3 1 +2.0 +1.5 2 -8.13062799e-07 -3.13529828e-24
sigma+ 84 2 -1 +2.0 +0.5 2 227 3 -1 +2.0 +1.5 2 7.32248250e-25 8.13062778e-07
sigma+ 9 1 1 +0.0 -0.5 1 8 1 1 +0.0 +0.5 1 -8.12444990e-07 0.00000000e+00
sigma+ 386 4 -1 +2.0 -0.5 2 78 2 -1 +2.0 +0.5 1 1.87008514e-24 8.12220708e-07
sigma+ 314 4 1 +2.0 -0.5 2 20 2 1 +2.0 +0.5 1 -1.87008519e-24 -8.12220680e-07
sigma+ 251 4 1 +3.0 -2.5 2 239 4 1 +3.0 -1.5 1 -8.09510292e-07 0.00000000e+00
sigma+ 355 4 -1 +3.0 -2.5 2 343 4 -1 +3.0 -1.5 1 8.09510272e-07 0.00000000e+00
sigma+ 340 4 -1 +3.0 +1.5 1 183 3 -1 +3.0 +2.5 2 -8.08826239e-07 0.00000000e+00
sigma+ 236 4 1 +3.0 +1.5 1 59 3 1 +3.0 +2.5 2 8.08826175e-07 0.00000000e+00
sigma+ 11 1 1 +0.0 -2.5 1 168 3 1 +0.0 -1.5 4 8.08539264e-07 0.00000000e+00
sigma+ 117 2 -1 +0.0 -3.5 1 436 4 -1 +0.0 -2.5 3 -8.04467477e-07 0.00000000e+00
sigma+ 405 4 -1 +1.0 -1.5 2 103 2 -1 +1.0 -0.5 1 -8.02183446e-07 1.84848617e-23
sigma+ 333 4 1 +1.0 -1.5 2 35 2 1 +1.0 -0.5 1 4.23552013e-25 8.02183442e-07
sigma+ 164 3 1 +0.0 +0.5 3 7 1 1 +0.0 +1.5 1 8.01210798e-07 0.00000000e+00
sigma+ 313 4 1 +2.0 +0.5 2 19 2 1 +2.0 +1.5 1 -8.00577515e-07 3.55294096e-24
sigma+ 385 4 -1 +2.0 +0.5 2 77 2 -1 +2.0 +1.5 1 -8.00577512e-07 3.55294094e-24
sigma+ 140 3 1 +1.0 -2.5 2 135 3 1 +1.0 -1.5 1 4.21096147e-24 7.98807353e-07
sigma+ 278 3 -1 +1.0 -2.5 2 273 3 -1 +1.0 -1.5 1 -7.98807342e-07 2.97150217e-25
sigma+ 34 2 1 +1.0 +0.5 1 139 3 1 +1.0 +1.5 2 -1.44554830e-20 -7.95220494e-07
sigma+ 102 2 -1 +1.0 +0.5 1 277 3 -1 +1.0 +1.5 2 -4.65437997e-41 -7.95220489e-07
sigma+ 241 4 1 +3.0 -3.5 1 55 3 1 +3.0 -2.5 1 7.89314221e-07 0.00000000e+00
sigma+ 345 4 -1 +3.0 -3.5 1 179 3 -1 +3.0 -2.5 1 7.89314199e-07 0.00000000e+00
sigma+ 413 4 -1 +0.0 +0.5 1 423 4 -1 +0.0 +1.5 2 -7.88775588e-07 0.00000000e+00
sigma+ 54 3 1 +3.0 -1.5 1 69 3 1 +3.0 -0.5 3 7.87474231e-07 0.00000000e+00
sigma+ 178 3 -1 +3.0 -1.5 1 193 3 -1 +3.0 -0.5 3 7.87474217e-07 0.00000000e+00
sigma+ 137 3 1 +1.0 -3.5 1 334 4 1 +1.0 -2.5 2 7.87358031e-07 -1.90078115e-24
sigma+ 275 3 -1 +1.0 -3.5 1 406 4 -1 +1.0 -2.5 2 3.03158541e-24 7.87358023e-07
sigma+ 128 2 -1 +0.0 -0.5 4 120 2 -1 +0.0 +0.5 2 7.84759234e-07 0.00000000e+00
sigma+ 221 3 -1 +2.0 +0.5 1 85 2 -1 +2.0 +1.5 2 -7.84003464e-07 9.69654304e-25
sigma+ 89 3 1 +2.0 +0.5 1 27 2 1 +2.0 +1.5 2 3.29437058e-24 -7.84003446e-07
sigma+ 412 4 -1 +0.0 +1.5 1 422 4 -1 +0.0 +2.5 2 -7.83438740e-07 0.00000000e+00
sigma+ 34 2 1 +1.0 +0.5 1 41 2 1 +1.0 +1.5 2 -8.83972895e-25 7.81941128e-07
sigma+ 102 2 -1 +1.0 +0.5 1 109 2 -1 +1.0 +1.5 2 7.81941126e-07 4.71263266e-24
sigma+ 36 2 1 +1.0 -1.5 1 142 3 1 +1.0 -0.5 2 7.78222528e-07 5.94393768e-17
sigma+ 104 2 -1 +1.0 -1.5 1 280 3 -1 +1.0 -0.5 2 7.78218556e-07 -1.97330621e-23
sigma+ 120 2 -1 +0.0 +0.5 2 432 4 -1 +0.0 +1.5 3 7.72802874e-07 0.00000000e+00
sigma+ 74 3 1 +3.0 +0.5 4 60 3 1 +3.0 +1.5 2 7.72738037e-07 0.00000000e+00
sigma+ 198 3 -1 +3.0 +0.5 4 184 3 -1 +3.0 +1.5 2 7.72738028e-07 0.00000000e+00
sigma+ 109 2 -1 +1.0 +1.5 2 100 2 -1 +1.0 +2.5 1 3.53985516e-24 7.69747079e-07
sigma+ 41 2 1 +1.0 +1.5 2 32 2 1 +1.0 +2.5 1 -7.69747077e-07 0.00000000e+00
sigma+ 199 3 -1 +3.0 +1.5 4 183 3 -1 +3.0 +2.5 2 7.69122804e-07 0.00000000e+00
sigma+ 75 3 1 +3.0 +1.5 4 59 3 1 +3.0 +2.5 2 7.69122795e-07 0.00000000e+00
sigma+ 208 4 1 +4.0 -3.5 1 216 4 1 +4.0 -2.5 2 -7.66696303e-07 9.75237555e-24
sigma+ 290 4 -1 +4.0 -3.5 1 298 4 -1 +4.0 -2.5 2 -1.05270110e-23 -7.66696267e-07
sigma+ 128 2 -1 +0.0 -0.5 4 433 4 -1 +0.0 +0.5 3 7.64270834e-07 0.00000000e+00
sigma+ 22 2 1 +2.0 -1.5 1 314 4 1 +2.0 -0.5 2 -7.59804190e-07 3.37193773e-25
sigma+ 80 2 -1 +2.0 -1.5 1 386 4 -1 +2.0 -0.5 2 -7.59804182e-07 3.37193770e-25
sigma+ 136 3 1 +1.0 -2.5 1 36 2 1 +1.0 -1.5 1 -7.59478607e-07 4.02716804e-40
sigma+ 274 3 -1 +1.0 -2.5 1 104 2 -1 +1.0 -1.5 1 -7.59478603e-07 4.87621429e-40
sigma+ 418 4 -1 +0.0 -4.5 1 428 4 -1 +0.0 -3.5 2 7.59437280e-07 0.00000000e+00
sigma+ 352 4 -1 +3.0 +0.5 2 351 4 -1 +3.0 +1.5 2 7.54424539e-07 0.00000000e+00
sigma+ 248 4 1 +3.0 +0.5 2 247 4 1 +3.0 +1.5 2 -7.54424522e-07 0.00000000e+00
sigma+ 230 3 -1 +2.0 -0.5 2 376 4 -1 +2.0 +0.5 1 -7.65884278e-25 7.52729445e-07
sigma+ 98 3 1 +2.0 -0.5 2 304 4 1 +2.0 +0.5 1 -1.92353278e-19 -7.52729397e-07
sigma+ 342 4 -1 +3.0 -0.5 1 352 4 -1 +3.0 +0.5 2 7.51373788e-07 0.00000000e+00
sigma+ 238 4 1 +3.0 -0.5 1 248 4 1 +3.0 +0.5 2 7.51373782e-07 0.00000000e+00
sigma+ 352 4 -1 +3.0 +0.5 2 175 3 -1 +3.0 +1.5 1 -7.49013415e-07 0.00000000e+00
sigma+ 248 4 1 +3.0 +0.5 2 51 3 1 +3.0 +1.5 1 7.49013383e-07 0.00000000e+00
sigma+ 8 1 1 +0.0 +0.5 1 163 3 1 +0.0 +1.5 3 7.44326504e-07 0.00000000e+00
sigma+ 180 3 -1 +3.0 -3.5 1 195 3 -1 +3.0 -2.5 3 -7.43392285e-07 0.00000000e+00
sigma+ 56 3 1 +3.0 -3.5 1 71 3 1 +3.0 -2.5 3 -7.43392280e-07 0.00000000e+00
sigma+ 428 4 -1 +0.0 -3.5 2 416 4 -1 +0.0 -2.5 1 7.41549118e-07 0.00000000e+00
sigma+ 262 4 1 +3.0 -2.5 4 63 3 1 +3.0 -1.5 2 -7.41294982e-07 0.00000000e+00
sigma+ 366 4 -1 +3.0 -2.5 4 187 3 -1 +3.0 -1.5 2 7.41294979e-07 0.00000000e+00
sigma+ 442 4 -1 +0.0 +1.5 4 118 2 -1 +0.0 +2.5 2 -7.39461310e-07 0.00000000e+00
sigma+ 44 1 -1 +1.0 -0.5 1 43 1 -1 +1.0 +0.5 1 -1.60644040e-24 7.38143474e-07
sigma+ 46 1 -1 +1.0 -0.5 2 47 1 -1 +1.0 +0.5 2 1.08664853e-24 -7.38143474e-07
sigma+ 2 1 1 +1.0 -0.5 1 1 1 1 +1.0 +0.5 1 6.26861616e-25 -7.38143463e-07
sigma+ 4 1 1 +1.0 -0.5 2 5 1 1 +1.0 +0.5 2 1.53143334e-24 -7.38143463e-07
sigma+ 353 4 -1 +3.0 -0.5 2 341 4 -1 +3.0 +0.5 1 7.37342672e-07 0.00000000e+00
sigma+ 249 4 1 +3.0 -0.5 2 237 4 1 +3.0 +0.5 1 7.37342670e-07 0.00000000e+00
sigma+ 176 3 -1 +3.0 +0.5 1 351 4 -1 +3.0 +1.5 2 -7.36979418e-07 0.00000000e+00
sigma+ 52 3 1 +3.0 +0.5 1 247 4 1 +3.0 +1.5 2 7.36979346e-07 0.00000000e+00
sigma+ 129 2 -1 +0.0 +0.5 4 28 0 -1 +0.0 +1.5 1 -7.36512044e-07 0.00000000e+00
sigma+ 184 3 -1 +3.0 +1.5 2 350 4 -1 +3.0 +2.5 2 7.35892327e-07 0.00000000e+00
sigma+ 60 3 1 +3.0 +1.5 2 246 4 1 +3.0 +2.5 2 7.35892311e-07 0.00000000e+00
sigma+ 437 4 -1 +0.0 -3.5 3 427 4 -1 +0.0 -2.5 2 7.34234731e-07 0.00000000e+00
