Type I_index Init_J Init_S Init_K Init_mF Init_XI F_index Final_J Final_S Final_K Final_mF Final_XI Rabi_Rate_Real Rabi_Rate_Imag
sigma+ 229 3 -1 +2.0 -2.5 2 82 2 -1 +2.0 -1.5 2 -3.77835073e-06 -2.29570020e-40
sigma+ 143 3 1 +1.0 -1.5 2 4 1 1 +1.0 -0.5 2 1.03638790e-23 3.76252222e-06
sigma+ 281 3 -1 +1.0 -1.5 2 46 1 -1 +1.0 -0.5 2 3.76250308e-06 -2.68088891e-24
sigma+ 37 2 1 +1.0 -2.5 1 3 1 1 +1.0 -1.5 1 3.75123126e-06 -5.57448401e-24
sigma+ 0 1 1 +1.0 +1.5 1 32 2 1 +1.0 +2.5 1 0.00000000e+00 -3.75123126e-06
sigma+ 42 1 -1 +1.0 +1.5 1 100 2 -1 +1.0 +2.5 1 1.58698373e-23 3.75123126e-06
sigma+ 105 2 -1 +1.0 -2.5 1 45 1 -1 +1.0 -1.5 1 -3.75123126e-06 1.70082298e-24
sigma+ 120 2 -1 +0.0 +0.5 2 28 0 -1 +0.0 +1.5 1 3.73980358e-06 0.00000000e+00
sigma+ 179 3 -1 +3.0 -2.5 1 343 4 -1 +3.0 -1.5 1 3.72093409e-06 0.00000000e+00
sigma+ 55 3 1 +3.0 -2.5 1 239 4 1 +3.0 -1.5 1 -3.72093407e-06 0.00000000e+00
sigma+ 135 3 1 +1.0 -1.5 1 2 1 1 +1.0 -0.5 1 1.27430461e-23 3.71959935e-06
sigma+ 273 3 -1 +1.0 -1.5 1 44 1 -1 +1.0 -0.5 1 -3.71959934e-06 3.29633963e-24
sigma+ 418 4 -1 +0.0 -4.5 1 117 2 -1 +0.0 -3.5 1 3.69816208e-06 0.00000000e+00
sigma+ 116 2 -1 +0.0 -2.5 1 31 0 -1 +0.0 -1.5 1 -3.69364535e-06 0.00000000e+00
sigma+ 83 2 -1 +2.0 -0.5 2 228 3 -1 +2.0 +0.5 2 3.67861628e-06 1.20482310e-23
sigma+ 25 2 1 +2.0 -0.5 2 96 3 1 +2.0 +0.5 2 4.72118799e-24 3.67861627e-06
sigma+ 1 1 1 +1.0 +0.5 1 132 3 1 +1.0 +1.5 1 5.09165574e-24 -3.67205048e-06
sigma+ 43 1 -1 +1.0 +0.5 1 270 3 -1 +1.0 +1.5 1 -5.55872440e-24 -3.67205048e-06
sigma+ 414 4 -1 +0.0 -0.5 1 113 2 -1 +0.0 +0.5 1 3.62009778e-06 0.00000000e+00
sigma+ 90 3 1 +2.0 -0.5 1 20 2 1 +2.0 +0.5 1 -2.16434814e-23 3.60604496e-06
sigma+ 222 3 -1 +2.0 -0.5 1 78 2 -1 +2.0 +0.5 1 -1.05744177e-23 3.60604496e-06
sigma+ 72 3 1 +3.0 -1.5 4 264 4 1 +3.0 -0.5 4 -3.60580117e-06 0.00000000e+00
sigma+ 196 3 -1 +3.0 -1.5 4 368 4 -1 +3.0 -0.5 4 -3.60580114e-06 0.00000000e+00
sigma+ 223 3 -1 +2.0 -1.5 1 377 4 -1 +2.0 -0.5 1 -3.60397630e-06 -1.07065936e-23
sigma+ 91 3 1 +2.0 -1.5 1 305 4 1 +2.0 -0.5 1 -3.60397629e-06 -9.63699264e-24
sigma+ 53 3 1 +3.0 -0.5 1 237 4 1 +3.0 +0.5 1 3.60299100e-06 0.00000000e+00
sigma+ 177 3 -1 +3.0 -0.5 1 341 4 -1 +3.0 +0.5 1 -3.60299100e-06 0.00000000e+00
sigma+ 274 3 -1 +1.0 -2.5 1 45 1 -1 +1.0 -1.5 1 3.60014051e-06 3.73557127e-25
sigma+ 136 3 1 +1.0 -2.5 1 3 1 1 +1.0 -1.5 1 -3.60014050e-06 -2.98190275e-24
sigma+ 231 3 -1 +2.0 -1.5 2 386 4 -1 +2.0 -0.5 2 -3.59933792e-06 -8.18408659e-24
sigma+ 99 3 1 +2.0 -1.5 2 314 4 1 +2.0 -0.5 2 3.59933792e-06 7.11332254e-24
sigma+ 435 4 -1 +0.0 -1.5 3 126 2 -1 +0.0 -0.5 3 -3.59734487e-06 0.00000000e+00
sigma+ 304 4 1 +2.0 +0.5 1 88 3 1 +2.0 +1.5 1 -3.59581096e-06 -1.10099889e-24
sigma+ 376 4 -1 +2.0 +0.5 1 220 3 -1 +2.0 +1.5 1 -1.09838782e-23 -3.59581096e-06
sigma+ 149 3 1 +0.0 -0.5 1 8 1 1 +0.0 +0.5 1 -3.58905456e-06 0.00000000e+00
sigma+ 16 1 1 +0.0 +0.5 3 163 3 1 +0.0 +1.5 3 3.58850115e-06 0.00000000e+00
sigma+ 313 4 1 +2.0 +0.5 2 95 3 1 +2.0 +1.5 2 3.58099038e-06 4.61950719e-25
sigma+ 385 4 -1 +2.0 +0.5 2 227 3 -1 +2.0 +1.5 2 -4.60855165e-24 -3.58099037e-06
sigma+ 84 2 -1 +2.0 +0.5 2 85 2 -1 +2.0 +1.5 2 3.57823384e-06 -1.33722884e-23
sigma+ 26 2 1 +2.0 +0.5 2 27 2 1 +2.0 +1.5 2 3.57823384e-06 -1.33722884e-23
sigma+ 428 4 -1 +0.0 -3.5 2 123 2 -1 +0.0 -2.5 2 -3.57467455e-06 0.00000000e+00
sigma+ 436 4 -1 +0.0 -2.5 3 127 2 -1 +0.0 -1.5 3 -3.56873177e-06 0.00000000e+00
sigma+ 10 1 1 +0.0 -1.5 1 17 1 1 +0.0 -0.5 3 3.55239060e-06 0.00000000e+00
sigma+ 8 1 1 +0.0 +0.5 1 12 1 1 +0.0 +1.5 2 -3.54272040e-06 0.00000000e+00
sigma+ 368 4 -1 +3.0 -0.5 4 198 3 -1 +3.0 +0.5 4 -3.53443265e-06 0.00000000e+00
sigma+ 264 4 1 +3.0 -0.5 4 74 3 1 +3.0 +0.5 4 -3.53443259e-06 0.00000000e+00
sigma+ 13 1 1 +0.0 +0.5 2 156 3 1 +0.0 +1.5 2 3.51146381e-06 0.00000000e+00
sigma+ 9 1 1 +0.0 -0.5 1 16 1 1 +0.0 +0.5 3 -3.51071716e-06 0.00000000e+00
sigma+ 81 2 -1 +2.0 -2.5 1 80 2 -1 +2.0 -1.5 1 -2.81330509e-23 -3.48487557e-06
